N,P,K,temperature,humidity,ph,rainfall,soil_type,season,region,soil_moisture,irrigation,sunlight,crop
120.8,81.6,144.2,23.96,82.17,6.17,2289.23,Loamy,Whole Year,South India,80.11,Drip Irrigation,6.76,Banana
121.3,51.5,116.4,25.81,70.28,6.72,1063.81,Loamy,Rabi,West India,68.29,Drip Irrigation,9.05,Tomato
82.9,67.3,115.6,25.35,81.83,5.87,2106.89,Loamy,Whole Year,South India,68.87,Rainfed,6.64,Coffee
116.3,49.3,19.8,17.07,50.77,6.1,607.98,Loamy,Rabi,West India,56.64,Available,8.92,Wheat
80.7,99.4,105.1,17.76,72.78,6.69,661.54,Loamy,Rabi,North India,64.08,Available,7.84,Potato
110.7,73.3,121.8,26.41,81.4,6.59,1008.16,Red Soil,Kharif,West India,59.38,Available,7.88,Tomato
150.2,73.7,68.3,29.01,74.06,6.85,1929.02,Clay,Whole Year,West India,69.28,Available,7.89,Sugarcane
49.2,45.9,55.7,27.08,60.94,7.02,648.49,Loamy,Zaid,West India,49.08,Rainfed,8.44,Groundnut
24.1,68.3,40.5,27.28,68.72,6.21,647.06,Sandy,Kharif,West India,54.83,Rainfed,6.56,Groundnut
105.9,60.5,49.3,29.29,55.23,7.17,930.79,Black Soil,Kharif,West India,57.85,Available,9.19,Cotton
97.9,44.9,34.8,24.76,87.28,5.71,2148.88,Clay,Kharif,South India,82.38,Canal Irrigation,4.9,Rice
30.2,35.3,36.1,24.02,59.74,6.4,884.67,Sandy,Zaid,South India,51.54,Available,9.72,Groundnut
88.5,71.1,79.0,25.49,72.57,6.8,2654.84,Loamy,Whole Year,South India,73.28,Rainfed,5.49,Coffee
105.6,82.0,79.0,26.58,57.52,5.75,704.28,Loamy,Rabi,West India,68.71,Drip Irrigation,8.28,Tomato
103.1,63.6,113.2,26.44,66.82,6.58,1088.24,Loamy,Whole Year,North India,60.68,Available,9.61,Tomato
27.3,69.7,27.5,20.98,54.78,6.84,580.62,Loamy,Rabi,North India,43.0,Rainfed,6.99,Chickpea
47.2,42.6,52.8,23.85,42.17,6.52,447.46,Black Soil,Rabi,North India,42.09,Rainfed,8.97,Chickpea
88.9,48.8,40.7,17.19,54.9,6.47,493.4,Loamy,Rabi,West India,47.14,Rainfed,7.45,Mustard
90.5,50.7,84.6,34.41,60.71,6.74,1552.48,Red Soil,Whole Year,South India,48.3,Available,8.48,Mango
83.2,96.4,152.2,23.59,71.42,5.8,550.95,Loamy,Rabi,East India,57.68,Drip Irrigation,8.05,Potato
106.5,64.2,45.6,34.35,49.71,7.79,882.95,Black Soil,Kharif,South India,53.96,Rainfed,8.87,Cotton
42.3,63.6,57.1,21.64,48.26,6.86,473.64,Loamy,Rabi,Central India,38.26,Available,6.04,Chickpea
69.2,47.7,41.3,24.35,78.56,6.15,1197.03,Loamy,Rabi,North India,67.21,Available,4.16,Maize
54.5,38.5,42.4,32.1,43.86,6.4,674.76,Loamy,Kharif,West India,30.38,Rainfed,10.07,Millet
78.7,46.9,45.5,22.02,79.5,6.28,2210.67,Clay,Kharif,East India,70.57,Canal Irrigation,7.53,Rice
85.9,38.7,27.9,24.45,65.0,6.07,895.7,Sandy,Kharif,Central India,50.01,Rainfed,6.3,Maize
49.8,32.2,50.5,29.92,68.02,7.03,490.3,Sandy,Kharif,West India,45.59,Available,9.5,Groundnut
30.5,57.0,25.5,21.4,56.2,6.98,540.81,Loamy,Rabi,Central India,39.12,Rainfed,7.16,Chickpea
22.7,68.8,25.2,18.6,72.11,5.89,461.68,Silty,Rabi,East India,43.35,Rainfed,8.51,Lentil
162.0,89.0,171.5,24.62,77.12,6.49,2413.11,Loamy,Whole Year,South India,77.56,Available,7.31,Banana
121.2,59.8,46.5,16.59,44.92,6.09,637.23,Clay,Rabi,West India,56.76,Canal Irrigation,8.94,Wheat
144.6,69.1,58.3,29.75,50.77,7.44,765.63,Black Soil,Kharif,Central India,52.48,Available,9.15,Cotton
152.8,58.4,62.1,29.43,78.84,7.33,1797.42,Clay,Whole Year,North India,82.81,Canal Irrigation,8.73,Sugarcane
75.3,15.6,27.7,26.08,54.67,6.05,541.31,Loamy,Kharif,West India,33.0,Rainfed,8.64,Millet
101.1,23.4,36.9,19.02,65.89,7.18,677.8,Loamy,Rabi,Himalayan Region,35.33,Available,8.49,Barley
52.0,26.3,34.4,22.93,55.33,6.69,534.42,Sandy,Kharif,West India,39.21,Rainfed,9.41,Millet
124.1,58.1,50.7,17.09,54.47,6.47,703.94,Loamy,Rabi,Central India,56.79,Available,9.22,Wheat
76.0,51.5,47.2,23.13,68.4,7.01,758.1,Red Soil,Kharif,South India,59.13,Available,8.3,Maize
102.9,40.4,67.8,20.37,86.3,4.94,2555.08,Peaty,Whole Year,East India,80.14,Rainfed,4.63,Tea
93.0,84.2,121.2,14.02,62.79,5.7,601.54,Sandy,Rabi,North India,53.88,Available,6.76,Potato
80.5,35.3,42.8,15.6,59.9,7.49,329.16,Sandy,Rabi,North India,47.7,Rainfed,8.94,Barley
49.0,83.7,45.8,27.52,73.62,6.32,792.54,Black Soil,Kharif,Central India,49.21,Rainfed,7.16,Soybean
91.7,47.5,35.9,14.3,69.02,6.36,510.72,Sandy,Rabi,West India,48.28,Available,8.56,Mustard
16.0,49.7,45.1,25.35,50.79,6.43,708.35,Sandy,Kharif,South India,46.77,Rainfed,8.49,Groundnut
99.2,67.7,105.8,22.93,72.75,5.96,1998.01,Peaty,Whole Year,South India,77.12,Available,5.54,Coffee
52.5,37.1,140.6,36.4,82.41,6.33,2319.23,Sandy,Whole Year,South India,75.4,Available,8.1,Coconut
94.5,36.8,65.9,26.21,76.62,6.45,2131.19,Clay,Kharif,East India,82.49,Canal Irrigation,7.31,Rice
112.0,80.2,153.9,32.31,82.96,6.49,2677.48,Loamy,Whole Year,East India,85.7,Available,8.71,Banana
102.1,32.7,44.2,27.54,82.47,6.44,2654.13,Loamy,Kharif,East India,71.94,Canal Irrigation,5.29,Rice
21.6,62.1,46.8,29.72,56.91,7.01,752.28,Sandy,Kharif,West India,44.99,Available,8.48,Groundnut
88.7,94.8,92.8,22.74,77.54,5.59,2178.74,Peaty,Whole Year,South India,65.6,Rainfed,6.02,Coffee
122.5,50.5,50.1,25.35,63.88,7.05,570.78,Clay,Rabi,Central India,55.18,Available,8.37,Wheat
127.8,54.9,48.8,26.27,59.15,7.08,1031.79,Black Soil,Kharif,South India,62.9,Rainfed,7.92,Cotton
